Entity	Source	By-Statement
Modi	DecH	Our clean PERSON , renewable energy , digital India , smart cities , housing for all and skill India missions are preparing us for a cleaner , more prosperous , faster growing and new India , Modi told the audience comprising delegates from 80 African countries .
Modi	DecH	Rs 1 lakh crore disbursed under PERSON : PERSON ( Odisha ) , Feb 7 , 2016 , PTI : 15:43 Istloans worth about RS 1 lakh crore have been sanctioned to small entrepreneurs under the Pradhan Mantri PERSON , Prime Minister PERSON said today , emphasising that the government wants youth to be job creators and not job seekers .
Modi	DecH	The campaign 'Gram PERSON se Bharat PERSON Abhiyan ' ( village self governance campaign ) has been inspired by PERSON , who was farsighted and a Votary of social harmony and modern technology , PERSON said .
Modi	DecH	President park and I see vast opportunities for Korean companies to participate in our 'Make in India ' mission , PERSON said and invited Korean investments in areas like ship building , including LNG tankers , besides defence equipment .
Modi	DecH	I am pleased that six years after we signed our bilateral agreement , we are moving towards commercial cooperation , consistent with our law , our international legal obligations , and technical and commercial viability , PERSON said .
Modi	DecH	Modi said the two countries will deepen their bilateral security cooperation against terrorist groups and further enhance counter-terrorism capabilities including in the area of technology .
Modi	DecH	This can be a big contribution to humankind , PERSON said while addressing the 42nd annual convocation of the all India Institute of medical sciences ( Aiims ) here .
Modi	DecH	Addressing the convention organised by the Bharatiya Janata party at the Angadi Institute of technology and management , PERSON said farmers who are not able to cultivate lands due to dry spells during the sowing season would also get insurance cover .
Modi	DecH	That helped place India at the forefront of the world in many areas , PERSON said in his inaugural address at the 102Nd session of the Indian science Congress .
Modi	DecH	Modi said the poorest should also have access to science and technology .
Modi	DecH	Modi also asked young entrepreneurs to suggest ways for minimising government interference in start-up businesses .
Modi	DecH	We have seen the governments do a lot for the past 70 years and we have also seen where we have reached , today I want you to tell me , what we ( government ) should not do , so that you ( entrepreneurs ) can move freely and reach a new height , PERSON said from a podium which read we PERSON .
Modi	DecH	Delivering the presidential address at the 103rd Indian science Congress in Mysuru on Sunday , PERSON said that attempts should be made to integrate traditional techniques with the attempts to increase farm yield .
Modi	DecH	Hence , we must maximise the use of local material with scientific improvements and make buildings energy efficient , PERSON said , adding that scientists should help make cities immune to the consequences of natural disasters and homes more resilient .
Modi	DecH	Find solutions to climate change , energy crisis : PM to Studentsvaranasi , Feb 22 , 2016 ( PTI ) 16:46 Istciting global problems of climate change , energy crisis and deadly diseases , Prime Minister PERSON today asked the Indian students to take up the challenge of finding solutions to these through innovation and research instead of merely doing Cut-Paste work .
Modi	DecH	Come up with innovations that may help the world in bringing down temperatures a bit , help the humanity overcome the grave energy crisis it is likely to face if renewable and sustainable alternative sources are not found , PERSON told the gathering of PERSON scholars and academics .
Modi	TOI	Today , we misuse technology and kill girls in the womb of the mother , PERSON said , adding that the damage being done through generations would take another two to three generations to be rectified .
Modi	TOI	Prime Minister PERSON said Indian companies have made investments in Russian oil and gas sector and Russian firms have investments in energy , defence and technology transfer to India .
Modi	TOI	Though Modi in an interaction with the chief secretaries had said gem could provide efficiency , savings and transparency in government procurement , it minister and Info-Tech Corp chairman PERSON said the new arrangement was done to put systems in place to bring accountability .
Modi	TOI	Though Modi in an interaction with the chief secretaries had said gem could provide efficiency , savings and transparency in government procurement , it minister and Info-Tech Corp chairman PERSON said the new arrangement was done to put systems in place to bring accountability .
Modi	TOI	Addressing a huge gathering , PERSON said , all of you who have gathered here today are power houses of knowledge , innovation and enterprise .
Modi	TOI	In a way it is no secret at all the reality is that technology was used extensively in my conversation with bear PERSON , PM Modi said .
Modi	TOI	It is CMS political innovation , PERSON said , asking if the Congress had run out of leaders to contest the polls against BJP .
Modi	TOI	Modi asked the students on the usefulness of the Atal innovation mission .
Modi	TOI	Addressing the Dexschool students at the graduation ceremony on Tuesday , PERSON said , we need good leaders in science and technology , education , medicine and other fields .
Modi	TOI	Modi said the armed forces are being rapidly Modernised , and efforts are being made to increase the participation of the private sector for make in India in the defence sector .
Modi	TOI	Technology is defining competitiveness and power in the new world and it is creating boundless opportunities to transform lives , PERSON said .
Modi	TOI	Modi said India takes pride in using remote sensing and space technology for multiple applications , including land restoration and it would be happy to help other friendly countries develop land restoration strategies through cost effective satellite technology .
Modi	TOI	South Korea is an important partner for our 'Make in India ' initiative as well as in our 'Start up India ' and 'Clean India ' initiatives , PERSON said .
Modi	TOI	From India , an 83-Member delegation comprising 60 students , 20 mentors and three officials of the AICTE visited Singapore for the event which PERSON said is a boost to technology , innovation and youth power .
Modi	TOI	From solar infra to social infra , from technical infra to space infra and from digital infra to defence infra , the India-France alliance is moving forward strongly , PERSON said .
Modi	TOI	Talking about social media , Prime Minister PERSON said , the example of breaking , addition , and twisting of technology is being seen in the form of social media .
Modi	TOI	Fast changing technologies like digitalisation and climate change pose a challenge to the current as well as future generations , PERSON said .
Modi	TOI	Commenting on the issue of fund availability for startups , PERSON said the government has created a RS 10,000 crore fund of funds .
Modi	TOI	Modi said he wanted to make the point while speaking to fellow legislators even as he reiterated the need to focus on technology to reach out to the public as he asked MPs to develop at least 3 lakh followers in their constituency .
Modi	TOI	New Delhi : prime minister PERSON on Wednesday said the government is taking several steps to promote young entrepreneurs in the country , adding that startups are no longer confined to big cities .
Modi	TOI	Commenting on the issue of fund availability for startups , PERSON said the government has created a RS 10,000 crore fund of funds .
Modi	TOI	Party leaders should try for instant sharing of information with people by using technology , PERSON said at the three-hour meeting , the first such gathering at the new party office , ministers gave presentations on the development projects including the focus on 115 least developed districts of the country .
Modi	TOI	Varanasi/New Delhi : in what appeared to be a dig at the opposition , Prime Minister PERSON on Tuesday asked people to give the right punishment at the right time to those who mocked the countrys first semi high-speed train , Vande Bharat Express , and the governments make in India programme .
Modi	TOI	Without taking any name , PERSON said , when our engineers are converting a diesel locomotive into an electric engine and rolling out Semi-High speed train , some people are insulting our best scientific brains .
Modi	TOI	Modi said the association wanted the software currently being used to operate the Annapurna Yojana at fair price shops to be replaced as it has many technical glitches .
Modi	TOI	The software sometimes fails to read fingerprints and Aadhaar card details of beneficiaries , forcing them to return without their monthly quota of subsidised foodgrain , PERSON said .
Modi	TOI	Appreciating the fintech festival as a celebration of belief , PERSON said , there is explosion of fintech innovation and enterprise in India and it can be used to make world a better place .
Modi	TOI	Every belief professes humanitarian values , PERSON said , adding that he envisages a future where Muslim youth are taught the humanitarian message of Islam along with modern scientific and technological developments .
Modi	TOI	PERSON answered questions posed by reporters in Hindi he ( PM PERSON ) actually speaks very good English , he just does n't want to talk , Trump joked when Prime Minister PERSON asked reporters to let the leaders talk in privacy .
Modi	TOI	On the industrial front , Prime Minister PERSON announced 'Make in India ' , 'Startup India ' , 'Digital India ' and many more things .
Modi	TOI	Prime Minister PERSON and Chinese president PERSON looking on along the East lake , in Wuhan ( AFP photo ) the smile diplomacy can be successful , but only within certain limits , said June PERSON , a University of Miami political science professor and author of Middle Kingdom and empire of the rising sun -- a 2016 book on China-Japan ties .
Modi	TOI	He has been trying to get children inspired to conduct scientific experiments using waste ; towards this end he has been encouraging children by showing them films made in 18 languages in 3,000 schools across the country , PERSON said .
Modi	TOI	* PM Modi in his departure statement said that the Osaka summit will witness India addressing issues like women empowerment , artificial intelligence and common efforts to address terrorism as its top agenda .
Modi	TOI	Speaking about 'Make in India ' initiative , PERSON said the initiative has emerged as global brand .
Modi	TOI	Modi said there is no failure in science but only experiments and efforts , and efforts show new paths .
Modi	TOI	Modi said he and Merkel will chart out a future roadmap of cooperation with focus on trade and investment , security and counter-terrorism , innovation and science and technology , skill development , urban infrastructure , railways and civil aviation , clean energy , development cooperation , health and alternative medicine .
Modi	TOI	PERSON as the land of tap , Tapasya , and PERSON , PM Modi said that this PERSON would see a blend of devotion and technology .
Modi	TOI	This the era of artificial intelligence Andcannot lag behind , PERSON said as he appreciated PERSON workers for increasing the importance of technology within the organisation .
Modi	TOI	Modi said , the teacher of knowledge is science .
Modi	TOI	The success in agriculture needs to be extended to eastern India and scientific and technological interventions are required to make this a reality , said PERSON .
Modi	TOI	Noting the gigantic task where over 2/3Rd of countries face impact of desertification globally , PERSON announced to set up a centre of excellence at Dehradun to help developing countries in addressing land degradation issues and offered help to friendly nations for developing land degradation strategies through Indias cost effective satellite and space technology .
Modi	TOI	Inaugurating the administrative headquarters of the smart city , Auric hall , PERSON said Aurangabad is not only becoming a new smart city but is also going to become a centre of the nation 's industrial activities , and once fully operational , it will create Lakhs of jobs .
Modi	TOI	Noting that India had carried out nuclear tests on PERSON on May 11 in 1998 , when BJP stalwart PERSON was prime minister , PERSON said youths need to imbibe Vajpayee 's mantra of 'PERSON ( hail science ) to make India modern and strong .
Modi	TOI	It is CMS political innovation , PERSON said , asking if the Congress had run out of leaders to contest the polls against BJP where there is Congress rule , all roads to development are blocked .
Modi	TOI	Modi also said that in India , the government is using technology for accountability and transparency .
Modi	Telegraph	Reviewing the shipping Ministrys performance , PERSON said the Sagarmala project should lead to Port-Led development and become a major link for his make in India vision , which envisages a jump in Indias global trade .
Modi	Telegraph	15 ( PTI ) : prime minister PERSON on Friday said his pet digital India initiative is a war against touts and middlemen , helping check PERSON and black marketing while creating immense job opportunities in small towns and rural areas .
Modi	Telegraph	We can easily fight for our rights through digital India , PERSON said .
Modi	Telegraph	( PTI ) New Delhi : prime minister PERSON said on Wednesday that youths wanted to be entrepreneurs and not job-seekers , attempting to defend his government over opposition criticism for lack of employment and seeking to woo the middle class by claiming to have ushered in ease of living .
Modi	Telegraph	Modi said the PERSON scheme of his government had given out crores of rupees in loans to support youths who wanted to be entrepreneurs .
Modi	Telegraph	The faster we bring in technology , the better it will be for productivity because the number of people is increasing but the land is shrinking , PERSON said .
Modi	Telegraph	Modi said his government 's efforts were directed towards establishing a network of small scale industries in villages according to a make in India plan so that the youth did not have to migrate in search of a livelihood .
Modi	Telegraph	We have selected those who can ask pertinent questions related to national and state political issues , said former deputy chief minister PERSON , recalling that even as a Pracharak of the RSS , PERSON used to be tech-savvy .
Modi	Telegraph	We have selected those who can ask pertinent questions related to national and state political issues , said former deputy chief minister PERSON , recalling that even as a Pracharak of the RSS , PERSON used to be tech-savvy .
Modi	Telegraph	I also had a knack for acquiring the latest gadgets , but since then he ( Narendra Modi ) appears to have learnt much more than me on use of technology to reach out to the people , PERSON said .
Modi	Telegraph	We must use technology as a means to development , not destruction , PERSON said in his plenary address at the summit .
Modi	Telegraph	While discussing many new defence projects with PERSON , PERSON has asked for the alignment of India-Russia defence relations with India 's own priorities , including 'Make in India ' .
Modi	Telegraph	Our special Correspondentpatna : deputy chief minister PERSON on Friday announced that the Labour resource , and information technology departments had been directed to assess the employment requirement in the coming 10 years so that youths could attain skills accordingly to get employment .
Modi	Telegraph	Kenya 's climate , PERSON said during a lecture at the University of Nairobi during his visit , provides the right ecosystem for appropriate technology and Innovation-Led growth .
Modi	Telegraph	( PTI ) New Delhi , April 26 : prime minister PERSON today asked his officials to explore new technologies to ramp up road-building and boost coal output as part of a broader objective to push economic growth and work towards the completion of existing projects in time .
Modi	Telegraph	Modi has asked PERSON to examine global standards of technology for infrastructure creation and their feasibility in India .
Modi	Telegraph	After prime minister PERSON announced Demonetisation of old RS 500 and RS 1,000 notes on November 8 , the centre in a bid to encourage customers to go cashless , had instructed the oil companies to give a discount of 0 .
Modi	Telegraph	PERSON , the younger brother of the prime minister , said the software was not working properly at several shops , forcing beneficiaries to return empty-handed .
Modi	Telegraph	17 ( PTI ) : prime minister PERSON said on Wednesday his government is making efforts to create systems that are innovation-friendly to build an innovation-driven new India .
Modi	Telegraph	17 ( PTI ) : prime minister PERSON said on Wednesday his government is making efforts to create systems that are innovation-friendly to build an innovation-driven new India .
Modi	Telegraph	India and Israel will strengthen the existing cooperation in agriculture , technology and security , PERSON said at a joint media event with PERSON .
Modi	Telegraph	Prime Minister PERSON had yesterday said he was keen on greater exchanges with India 's Eastern neighbour especially in high-tech that have a deeper connect with the youth .
Modi	Telegraph	Prime Minister PERSON had yesterday said he was keen on greater exchanges with India 's Eastern neighbour especially in high-tech that have a deeper connect with the youth .
Modi	Telegraph	Modi , speaking in English and handling technical terminology with ease , said the nation could be proud of the space programme where we have pushed beyond mediocrity to excellence .
Modi	Telegraph	Women entrepreneurs can get loans of RS 10 lakh to RS 1 crore , PERSON said .
Modi	Telegraph	Once I have the technical support , I will start widening my contact base in the virtual world so that I can interact with people on different issues and exchange ideas , PERSON said .
Modi	Telegraph	Picture by PERSON : deputy chief minister PERSON on Saturday announced that a bamboo policy will be made for the state and the government will send farmers , artisans and entrepreneurs to North-eastern States for training in bamboo cultivation as well as industries .
Modi	Telegraph	This the era of artificial intelligence and India can not lag behind , PERSON said as he appreciated PERSON workers for increasing the importance of technology within the organisation .
Modi	Telegraph	Our defence mechanisms would be the best in the world , PERSON said , referring to delays in procurement and complaints that the armed forces were using outdated technology .
Modi	Telegraph	Twitterdescribing the monument as a symbol of the countrys engineering and technical capabilities , PERSON said it will remind those who question Indias existence that this nation was , is and will remain eternal .
Modi	Telegraph	PERSON asked the commanders to upgrade the technological capabilities of soldiers at all levels .
Modi	Telegraph	Modi said the centre had asked state governments to procure at least 4 per cent items produced by PERSON entrepreneurs .
Modi	Telegraph	Two years ago , India made a promise - a promise to extend advanced space technology for the cause of growth and prosperity of our brothers and sisters in South Asia , PERSON told the leaders of the other participating nations in a televised video-conference , also attended from PERSON by scientists from the Indian space research organisation ( ISRO ) .
Modi	Telegraph	I am convinced that when we join hands and mutually share the fruits of knowledge , technology and growth , we can speed up our development and prosperity , PERSON said today .
Modi	NIE	In his address at 'Future India : science and technology at the science Congress ' , PERSON said , today 's new slogan is PERSON , PERSON , PERSON and PERSON .
Modi	NIE	Modi said , the life and works of Indian scientists are a compelling testament of integration of deep fundamental insights with technology development and nation-building .
Modi	NIE	Addressing a rally in Kozhikode yesterday , Modi asked Pakistan 's people to question leaders of their country as to why India exports software and Pakistan exports terrorism despite getting independence together .
Modi	NIE	He also said that after Prime Minister PERSON announced the make in India campaign , there is healthy competition among states , which is a good sign .
Modi	NIE	Modi , while addressing investors at the vibrant Gujarat summit here , also said that 'Make in India ' initiative has become the biggest brand that the country has ever had .
Modi	NIE	Modi said he and PERSON would also interact with top business leaders of both countries and chart out a future roadmap of cooperation in sectors such as trade and investment , science and technology , clean energy and smart cities .
Modi	NIE	Modi said those opposing Evms are not only opposed to Evms , they have problems with technology , digital transactions , Aadhaar , GST , Bhim app .
Modi	NIE	PERSON : prime minister PERSON , who today launched a hub to provide professional support to entrepreneurs from the schedule caste , schedule tribe community in PERSON , said the Msme sector is crucial for the countrys progress .
Modi	NIE	They have agreed to set up an India-Uk urban partnership and there are opportunities for both the countries to collaborate in the digital India and expand information convergence and people centric E-Governancenew Delhi : prime minister PERSON on Monday said India and the UK can leverage technological prowess to create new opportunities , while seeking the UK businesses to invest in defence , manufacturing and aerospace sectors in India .
Modi	NIE	Referring to the Newton-Bhabha programme of scientific collaboration between the UK and India , PERSON said , science is universal , but technology has to be local .
Modi	NIE	Addressing a gathering after inaugurating the 1,500-Bed Sardar Vallabhbhai Patel Institute of medical science and research , PERSON said as many as seven lakh poor people have benefited from the centre 's Pradhan Mantri Ayushman Bharat scheme in just 100 days .
Modi	NIE	Speaking about 'Make in India ' initiative , PERSON said the initiative has emerged as a global brand .
Modi	NIE	At a colourful ceremony , which included a presentation of India 's indigenous martial art forms , dances and sports , PERSON said technology has contributed to a sedentary lifestyle .
Modi	NIE	PERSON ( @ PERSON ) October 17 , 2016He said he spoke to union health minister PERSON and asked him to facilitate transfer of all the injured to all India Institute of medical sciences in Bhubaneswar .
Modi	NIE	Fast changing technologies like digitalisation and climate change pose a challenge to the current as well as future generations , PERSON said .
Modi	NIE	Speaking at the world 's largest event on financial technology , PERSON said technology has transformed governance and delivery of public services in India and unleashed innovation , hope and opportunities .
Modi	NIE	Technology is defining competitiveness and power in the new world and it is creating boundless opportunities to transform lives , PERSON said as he began his two-day visit to the country .
Modi	NIE	Modi said the digital technology was introducing transparency and eliminating corruption through innovations such as the government E-Marketor gem .
Modi	NIE	Modi also said 40 new all India Institute of medical sciences were being set up with focus on oncology and its various aspects .
Modi	NIE	Also read | India , Bahrain sign agreements in space technology , culture Exchangenoting that 'Chandrayaan-2 ' would land on the surface of moon on September 7 , PERSON said the entire world was today discussing India 's space missions .
Modi	NIE	Raining his guns on Singh , PERSON said that if the former prime minister was talking about the country where 50 per cent of the population was poor and that it wont be easy to integrate technology easily across the board , was it a reflection of his governments performance or mine ?
Modi	NIE	By PERSON : prime minister PERSON today announced doubling of India 's contribution to the commonwealth fund for technical cooperation and stressed the need to focus on providing developmental assistance to small island states , the external affairs ministry said today .
Modi	NIE	Expressing solidarity with the scientific community , Prime Minister PERSON said India is proud of our scientists , and asked them to be courageous .
Modi	NIE	The people of Pakistan should ask their leaders that India and Pakistan got freedom in the same year , but India exports software and your ( Pakistan ) leaders are exporting terrorists , said prime minister PERSON , while addressing a public rally in Kozhikode .
Modi	NIE	New Delhi : advocating for cashless transactions , the prime minister PERSON has said that the large volumes of liquid cash are a big source of corruption and black money .
Modi	NIE	25 crore were first-time entrepreneurs , PERSON said .
Modi	NIE	We have changed the work culture , PERSON said adding the emphasis now is on re-engineering the processes to improve efficiency .
Modi	NIE	The technology has undergone a drastic transformation in the last 20 years , PERSON said adding the aspirations of the youths have to be kept in mind in this era .
Modi	NIE	Prime Minister PERSON who inaugurated the PERSON on Thursday said that new and emerging technologies like artificial intelligence and robotics are most important determinants of defensive Andoffensive capabilities and India , with its leadership in information technology domain , would strive to use this technology tilt to its advantage .
Modi	NIE	Japan is also at the forefront of engaging in our national initiatives , such as 'Make in India ' , 'Skill India ' , 'Digital India ' , 'Start-Up India ' Japanese investors have faith in India 's economic future , which is marked with myriad opportunities , PERSON said .
Modi	NIE	Highlighting the efforts being made towards combating land degradation and climate change , PERSON said India takes pride in using remote sensing and space technology for multiple applications , including land restoration and it will be happy to help friendly countries develop land restoration strategies through cost effective satellite technology .
Modi	NIE	After inaugurating the bridge , PERSON said the facility was a marvel of engineering and technology , and would be of immense strategic significance .
Modi	NIE	In an interview with Russia 's state-run Tass news agency ahead of his visit , PERSON said he shared a special chemistry with the Russian president and is keen on technology transfers so that the two sides can make military equipment in India at cheaper rates for export to third countries .
Modi	NIE	He ( PM PERSON ) actually speaks very good English , he just does n't want to talk , Trump joked when Prime Minister PERSON asked reporters to let the leaders talk in privacy .
Modi	NIE	Modi also announced a grant of USD 5 million for the establishment of a software park in the telecommunications University in Nha Trang .
Modi	NIE	The five is are inclusiveness , Indigenisation , innovation , investment in infrastructure and international Cooperationindian Navy cover for oil PERSON , PERSON told Trump India has deployed its Navy to protect Indian flagged vessels passing through the Gulf and the Strait of Hormuz .
Modi	NIE	There are times when a problem portrays the importance of science for finding a solution , PERSON said referring to the 2005 Mumbai floods which led to development of a dwelling structure that saves its occupants and prevents Water-Logging .
Modi	NIE	Argentina , PERSON said , has strongly backed India 's entry into the nuclear suppliers group , the missile technology control regime ( PERSON ) , Australia group , and Wassenaar arrangement .
Modi	NIE	Speaking about 'Make in India ' initiative , PERSON said the initiative has emerged as global brand .
Modi	NIE	In a bid to promote digital transactions , PERSON said , for entrepreneurs dealing in such transaction , tax will be calculated at 6 per cent , not 8 .
Modi	NIE	We count on the BRICs business council to work with us to achieve our common aim of strengthening mutual trade , enhancing business opportunities , building investments linkages , promoting innovation and removing bottlenecks to Intra-Brics commerce , PERSON said at a meeting of the leaders with the BRICs business Council .
Modi	NIE	Modi said technology is bringing big changes and keeping this in mind , the country 's law universities should develop such kind of talents .
Modi	NIE	Prime Minister PERSON had participated in our 'Make in India ' programme in 2016 along with a big business delegation , PERSON said .
Modi	NIE	Fast changing technologies like digitalisation and climate change pose a challenge to the current as well as future generations , PERSON said .
Modi	NIE	Modi said he and Merkel will chart out a future roadmap of cooperation with focus on trade and investment , security and counter-terrorism , innovation and science and technology , skill development , urban infrastructure , railways and civil aviation , clean energy , development cooperation , health and alternative medicine .
Modi	NIE	Modi said the armed forces are being rapidly Modernised , and efforts are being made to increase the participation of the private sector for make in India in the defence sector .
Modi	NIE	Trade , commerce , innovation and engineering are of immense importance in this era , PERSON said , adding companies from Russia should explore the opportunities in India and collaborate with the industry .
Modi	NIE	Addressing a gathering after inaugurating the 1500 bed Sardar Vallabhbhai Patel Institute of medical science and research , PERSON said the economic reservation has been given without impacting the existing social reservations .
Modi	NIE	It 's a matter of great happiness for me that today , you are working in an even larger number in India , PERSON said while addressing 'Make in India : India-Japan partnership in Africa and digital partnership ' seminar in Tokyo on Monday .
Modi	NIE	Modi said India is committed to accelerate the development of Bhutan using space technology .
Modi	NIE	Modi said the collaboration and relationship between royal Bhutan University and IITs of India and some other top educational institutions are in line with today 's requirements for education and technology .
Modi	NIE	Modi also announced a grant of $ 5 million for the establishment of a software park in the telecommunications University in Nha Trang .
Modi	NIE	Kanpur : Lucknow : announcing a bonanza to reward cashless transactions , Prime Minister PERSON said that all those using e-payments since November 8 , especially the small spenders , will be offered an incentive of RS 1000 .
Modi	NIE	Reiterating the need to move towards a cashless economy , PERSON said once black money is eliminated from the system , it is essential to ensure that fresh black money is not generated .
Modi	NIE	In a way it is no secret at all the reality is that technology was used extensively in my conversation with bear Grylls , PERSON said .
Modi	NIE	Technology and human interface are both important for the police force to keep progressing , PERSON said speaking at the annual conference of Dgps/Igps held at the PERSON national police academy ( SVP NPA ) here on Saturday .
Modi	NIE	Taking on the opposition and accusing it of misguiding people over cashless transactions , PERSON said that while on one hand they claimed that PERSON brought about the telecom revolution , on the other they contradict themselves by saying that their countrymen dont have means for cashless transactions .
Modi	NIE	Modi told the gathering of business leaders that through the 'Make in India ' initiative , his government is committed to transforming the country as a major player in the global value chain .
Modi	NIE	New Delhi : advocating cashless transactions , Prime Minister PERSON on Friday said large volumes of liquid cash are a big source of corruption and black money .
Modi	NIE	New Delhi : while maintaining that technology has a major role to bring in transparency to curb corruption , the prime minister PERSON said that if we use technology for the purpose of governance , we would be able to provide basic necessities to common man efficiently .
Modi	NIE	Modi said technology from mobile to missiles can be controlled from space and added that protecting the space was very important which the NDA government at the centre had done during its tenure .
Modi	NIE	Modi said India wanted to build cooperation in new areas with Bangladesh especially in some high-technology sectors which would include working in the fields of electronics , it , cyber security , space explorations and civil nuclear energy .
Modi	NIE	Modi said he and Merkel will chart out a future roadmap of cooperation with focus on trade and investment , security and counter-terrorism , innovation and science and technology , skill development , urban infrastructure , railways and civil aviation , clean energy , development cooperation , health and alternative medicine .
Modi	NIE	Also read | decoding mission Shakti : a peek into the technology that made India a space Powerprime minister PERSON had on Wednesday announced that India successfully test-fired an Anti-Satellite missile by shooting down a live satellite , describing it as a rare achievement that puts the country in an exclusive club of space super powers .
Modi	NIE	In his monthly 'PERSON address , PERSON said the way scientists rectified technical issues , which caused ISRO to defer its launch by a few days , is exemplary and unparalleled .
Modi	NIE	From India , an 83-Member delegation comprising 60 students , 20 mentors and three officials of the AICTE visited Singapore for the event which PERSON said is a boost to technology , innovation and youth power .
Modi	NIE	Prime Minister PERSON says , if the world helps me with technology , helps me with resources I will be the very first person to switch over to clean energy completely .
Modi	NIE	Interacting with beneficiaries of the various digital India efforts , PERSON said the initiative was launched with an objective of bringing benefits of technology to people , especially in rural areas .
Modi	NIE	Technology has helped book railway tickets and pay bills online , bringing great convenience , PERSON said .
Modi	NIE	Addressing the village level entrepreneurs ( VLEs ) , who run these centres , via video conferencing , PERSON said digital India was launched with an aim to connect India 's villages and youth .
Modi	NIE	Every aspect of digital empowerment has been worked on , from rolling out fibre optics in villages , to digital literacy , PERSON said .
Modi	NIE	In the 26th edition of PERSON programme , Prime Minister PERSON said , I know cashless economy is different .
Modi	NIE	Modi said he and Merkel will chart out a future roadmap of cooperation with focus on trade and investment , security and counter-terrorism , innovation and science and technology , skill development , urban infrastructure , railways and civil aviation , clean energy , development cooperation , health and alternative medicine .
Modi	HT	Modi said access in services is important for India during this review and the two sides need an agreement that reflects investment , technology and services and not just trade in goods .
Modi	HT	The make in India Mittelstand ( Miim ) launched to encourage German small and medium industry ( SME ) to India has evoked major interest in Germany , giving further boost to bilateral business ties , Prime Minister PERSON said on Tuesday .
Modi	HT	During the 7-minute interaction , Modi asked her to explain how she helped people and how they are benefited under the digital India initiative .
Modi	HT	This tunnel is not just the longest tunnel but a big leap for Jammu and Kashmir in terms of development , PERSON said , describing the engineering feat as the States Fate-Line that will translate dreams into reality .
Modi	HT	In his periodic review of infrastructure sector on Tuesday , Modi asked PERSON to examine global standards in the application of technology for infrastructure creation , and their feasibility in India .
Modi	HT	Noting the decline in coal imports in the last year , PERSON asked for even more vigorous efforts towards coal import substitution , and application of new coal technologies including gasification technology .
Modi	HT	The Nehru-PERSON family is rattled seeing that this PERSON has completed five years with full strength , said PM Modi charging the Congress of relegating PERSON to oblivion and engineering the downfall of the PERSON government in 1970s .
Modi	HT	The US is a vital partner for our national development , with rich possibilities of partnership in education , skills , research , technology and innovation , and an enabler for India in economic growth and national security , PERSON said .
Modi	HT	In a way it is no secret at all the reality is that technology was used extensively in my conversation with bear Grylls , PERSON said .
Modi	HT	11:10 am Ist hope PERSON mission will inspire youth : PM Modi discussing Indias feat in space venture , Exhbited recently through PERSON-2 mission , PM Modi said , I fervently hope that PERSON-2 mission will inspire our youth towards science & innovation .
Modi	HT	Talking about the central governments PERSON scheme , skill India and startup India funds , PERSON said that there are sufficient platforms to help young entrepreneurs with innovative ideas .
Modi	HT	After prime minister PERSON announced Demonetisation on November 8 , the current budget further aims to strengthen the countrys cashless economy .
Modi	HT	12:40 PM Ist visit opens new pathways of cooperation tweeting about his meeting with President PERSON , PM Modi said , during our visit , President PERSON showed me cutting edge technologies at the shipyard .
Modi	HT	Coming back to Demonetisation , Modi said that cashless would take India step-by-step , slowly in the direction of a clean economy .
Modi	HT	About 40 mobile phone making plants have started since Modi announced make in India in September 2014 .
Modi	HT	The central government is working to increase speed of trains and also striving to bring in global technology to make railways safer , as safety is of greatest concern , PERSON said .
Modi	HT	Under the make in India programme , the country is building military hardware , and regulations have been changed to encourage the private sector to manufacture weapons systems , PERSON said .
Modi	HT	We have set a goal to create ecosystem for 50K startups in the next 5 year , says PERSON .
Modi	HT	We have used technology in the working of the government , which has helped bring transparency , PERSON says .
Modi	HT	Stressing the importance of information technology and communication in changing times , Prime Minister PERSON said on Sunday that courts could use video conferencing to communicate with government officials instead of summoning them to appear in court , saving time and money .
Modi	HT	Modi said those opposing Evms are not only opposed to Evms , they have problems with technology , digital transactions , Aadhaar , GST , Bhim app .
Modi	HT	Pm Modi said those opposing Evms are not only opposed to Evms , they have problems with technology , digital transactions , Aadhaar , GST , Bhim app .
Modi	HT	Watch| PM PERSON on I-Day : one nation , one constitution dream has been Achievedurging citizens too , to pitch in , PERSON said it would be a good opportunity for the shop owners to advertise with their won cloth bags : shop owners and small entrepreneurs should start gifting their customers cloth bags with their branding and inculcate the good habit in the same stroke .
Modi	HT	We have travelled from zero to Mars , we have travelled from Upanishad to Upagrah , PERSON said in his address to thousands of innovators and engineers at Indias biggest innovation fest named smart India Hackathon .
Modi	HT	Months before prime minister PERSON announced Demonetisation and emphasised on cashless transaction in country , a low level government Karmachari in Jharkhands Latehar district seems to have become well versed with relevance of cashless transaction .
Modi	HT	Aug 15 , 2015 : Modi said India must be number 1 in startups , coining the slogan start-up India and stand up India .
Modi	HT	Also read : Exclusive| we are deciding direction India takes : PM PERSONcommenting on the recent UN listing of jems Masood Azhar as a global terrorist after China withdrew its technical hold on such a listing , PERSON said everyone was wrongly describing this as a China-related issue when , in reality , it is about global terror .
Modi	HT	We have changed the work culture , PERSON said adding the emphasis now is on re-engineering the processes to improve efficiency .
Modi	HT	The technology has undergone a drastic transformation in the last 20 years , PERSON said adding the aspirations of the youths have to be kept in mind in this era .
